timestamp,open,high,low,close,volume
1782216000000,1659.93,1672.00,1643.66,1658.90,971623.377
1782230400000,1658.90,1673.60,1649.03,1661.96,478541.666
1782244800000,1661.97,1672.12,1659.27,1666.40,269685.210
1782259200000,1666.40,1679.92,1657.04,1666.03,436996.052
1782273600000,1666.02,1678.98,1657.19,1672.38,366638.849
1782288000000,1672.39,1692.00,1654.53,1678.65,588844.491
1782302400000,1678.64,1680.67,1616.00,1617.46,1756794.218
1782316800000,1617.46,1636.00,1551.00,1583.72,2481582.995
1782331200000,1583.72,1629.15,1579.00,1621.54,764775.736
1782345600000,1621.55,1625.98,1613.67,1618.89,350419.052
1782360000000,1618.89,1660.56,1616.22,1656.44,934093.418
1782374400000,1656.44,1658.33,1627.07,1632.26,674577.568
1782388800000,1632.26,1649.69,1530.00,1569.43,3388636.857
1782403200000,1569.42,1587.00,1553.81,1558.82,991767.211
1782417600000,1558.83,1583.00,1556.00,1566.97,566390.947
1782432000000,1566.98,1571.12,1510.87,1557.07,1555814.429
1782446400000,1557.07,1585.55,1542.28,1579.82,955386.970
1782460800000,1579.81,1581.34,1540.00,1544.40,926895.555
1782475200000,1544.40,1587.65,1520.34,1579.32,2204554.650
1782489600000,1579.32,1594.89,1569.66,1573.82,735184.948
1782504000000,1573.92,1582.67,1567.12,1577.86,319690.099
1782518400000,1577.85,1586.42,1570.66,1579.77,252228.899
1782532800000,1579.77,1585.70,1574.39,1584.75,227039.646
1782547200000,1584.75,1585.19,1578.08,1583.13,169660.763
1782561600000,1583.13,1610.44,1580.55,1604.87,566790.855
1782576000000,1604.86,1607.30,1571.98,1577.52,642201.481
1782590400000,1577.52,1584.61,1561.69,1573.10,398997.934
1782604800000,1573.10,1579.28,1568.27,1574.27,216537.392
1782619200000,1574.27,1576.65,1561.59,1575.02,368514.475
1782633600000,1575.03,1585.69,1571.38,1582.10,363861.234
1782648000000,1582.10,1588.27,1574.01,1580.00,384671.477
1782662400000,1580.00,1581.14,1555.62,1563.78,567485.025
1782676800000,1563.78,1582.00,1547.00,1571.10,718941.778
1782691200000,1571.11,1588.92,1549.08,1583.97,920514.674
1782705600000,1583.98,1588.58,1561.16,1579.36,549629.183
1782720000000,1579.36,1586.55,1569.28,1574.16,537638.336
1782734400000,1574.16,1597.00,1556.54,1579.48,1878551.503
1782748800000,1579.49,1637.20,1573.33,1624.73,1254251.506
1782763200000,1624.74,1626.00,1606.74,1612.12,362030.662
1782777600000,1612.12,1613.56,1585.64,1586.26,602360.612
1782792000000,1586.26,1595.79,1578.64,1591.64,470347.062
1782806400000,1591.65,1593.59,1574.55,1577.87,475337.108
1782820800000,1577.88,1577.88,1549.16,1564.56,1548667.770
1782835200000,1564.56,1581.62,1561.21,1579.78,431226.036
1782849600000,1579.77,1582.23,1565.29,1571.47,299708.799
1782864000000,1571.48,1598.98,1552.03,1594.07,894109.973
1782878400000,1594.08,1604.40,1570.43,1577.70,721749.592
1782892800000,1577.71,1584.49,1565.94,1569.02,472981.450
1782907200000,1569.02,1630.72,1564.17,1619.26,1849939.845
1782921600000,1619.27,1628.65,1606.14,1617.14,684031.776
1782936000000,1617.14,1645.86,1607.42,1608.87,817116.770
1782950400000,1608.87,1643.47,1596.14,1638.85,831470.144
1782964800000,1638.84,1639.40,1613.99,1615.56,518088.229
1782979200000,1615.55,1654.36,1614.51,1649.41,1190690.627
1782993600000,1649.42,1725.00,1646.89,1696.32,2570681.597
1783008000000,1696.33,1706.49,1685.04,1699.42,592226.541
1783022400000,1699.41,1706.00,1691.30,1699.90,314288.126
1783036800000,1699.89,1718.39,1693.68,1705.61,566715.394
1783051200000,1705.61,1721.97,1701.63,1717.00,405255.805
1783065600000,1717.00,1748.67,1714.90,1741.66,1068857.423
1783080000000,1741.66,1753.36,1728.03,1730.37,977322.933
1783094400000,1730.38,1752.97,1726.85,1744.78,513731.498
1783108800000,1744.79,1775.50,1742.76,1757.41,679706.975
1783123200000,1757.41,1763.39,1743.09,1753.14,370219.361
1783137600000,1753.14,1763.99,1750.51,1757.42,309508.713
1783152000000,1757.43,1765.42,1754.08,1757.27,239488.543
1783166400000,1757.28,1799.00,1757.27,1790.43,904042.146
1783180800000,1790.44,1808.00,1778.08,1792.00,744355.074
1783195200000,1792.00,1795.27,1770.88,1779.94,347525.651
1783209600000,1779.94,1780.03,1756.04,1760.65,491495.207
1783224000000,1760.65,1771.99,1759.13,1769.17,329329.423
1783238400000,1769.18,1772.69,1747.27,1759.39,436708.904
1783252800000,1759.39,1781.18,1755.15,1773.89,416169.474
1783267200000,1773.88,1786.35,1769.46,1780.67,336602.091
1783281600000,1780.66,1807.77,1768.04,1785.07,741512.127
1783296000000,1785.07,1798.40,1770.84,1778.92,575670.661
1783310400000,1778.93,1785.06,1763.66,1771.42,463593.784
1783324800000,1771.43,1777.96,1755.07,1758.51,601632.978
1783339200000,1758.51,1788.26,1728.30,1787.72,2162363.713
1783353600000,1787.72,1804.50,1781.53,1791.81,914384.613
1783368000000,1791.82,1833.00,1786.46,1798.84,822737.187
1783382400000,1798.84,1809.87,1766.80,1770.70,743349.298
1783396800000,1770.70,1782.23,1756.62,1770.54,689910.166
1783411200000,1770.54,1784.34,1767.29,1779.90,423543.327
1783425600000,1779.91,1802.86,1760.01,1796.66,1256794.321
1783440000000,1796.67,1812.85,1771.02,1789.59,857742.672
1783454400000,1789.59,1792.27,1764.50,1770.67,399558.005
1783468800000,1770.67,1784.16,1740.40,1750.78,845403.508
1783483200000,1750.78,1759.00,1744.30,1755.74,393055.792
1783497600000,1755.74,1757.96,1724.31,1747.36,1074513.457
1783512000000,1747.35,1750.68,1712.45,1722.08,1107984.800
1783526400000,1722.08,1745.80,1722.07,1740.34,563545.150
